Nombre español,Nombre inglés,Info español,Info inglés ,Canción 
Narciso,Daffodil,"(Narcissus 'Actaea') Es una planta que nace de bulbos y pertenece a la familia Amaryllidaceae. Esta flor originaria de las cuencas mediterráneas, Asia y Áfria septentrional debe su nombre a la mitología griega. Según el mito, Narciso era un joven que se enamoró de si mismo al mirarse en un río y murió ahogado al lanzarse al agua. En ese mismo lugar creció la flor. Se relaciona con el renacer, nuevos comienzos y a un amor no correspondido.","(Narcissus 'Actaea') This is a plant that grows from bulbs and belongs to the Amaryllidaceae family. This flower native to the Mediterranean basins, Asia and northern Africa owes its name to Greek mythology. According to the myth, Narcissus was a young man who fell in love with himself when looking at his own reflection in a river and drowned when he jumped into the water. In that same place the flower grew. It is related to rebirth, new beginnings and unrequited love.","Helado Negro - Running 

https://www.youtube.com/watch?v=u4mof-W6ggI"
Ipomoea violacea,Morning Glory,"Pertenece a la familia de las Convolvuláceas. Es una planta originaria de centroamérica y México. Representa vivir sin miedo a expresar lo que uno siente y sin limitaciones. Cada mañana, muestra su belleza y firmeza y al caer el sol demuestra sus debilidades, cansancio y dudas. También, sus semillas son usadas como alucinógeno.","It belongs to the Convolvulaceae family. This is a plant native to Central America and Mexico. It represents living without fear and limitations of expressing what one feels. Every morning, it shows its beauty and firmness and at sunset it shows its weaknesses, tiredness and doubts. Also, its seeds are used as a hallucinogen.","Moodoïd, Melody's Echo Chamber - Only One Man 

https://www.youtube.com/watch?v=r3zixSlAn2I"
Espuela de Caballero,Candle Lakspur,"(Delphinium elatum') Es una especie de planta de la familia Ranunculaceae. Nativa de Asia y Europa. Se dice que esta planta atrae la música
 ",(Delphinium elatum') Is a species of plant in the Ranunculaceae family. Native to Asia and Europe. It is said that this plant attracts music.," Beck - Debra

https://www.youtube.com/watch?v=rpv-CcRX4X4"
Cempasúchil,Aztec Marigold,(Tagetes Erecta) Es parte de la familia Asteraceae. Son nativas de México. Esta flor era considerada un símbolo de vida y muerte. Se cree que su olor guía a los muertos a sus respectivos altares dónde los espera su respectiva ofrenda en el Día de Muertos.,(Tagetes Erecta) It is part of the Asteraceae family. They are native to Mexico. This flower was considered a symbol of life and death. It is believed that its scent guides the dead to their respective altars where their respective offering awaits them on the Day of the Dead.,"The Shins - Heartworms

https://www.youtube.com/watch?v=6s5F-lRM7qQ"
Ipomea Tricolor,Heavenly Blue,"Nativa del Neotrópico y ampliamente naturalizada en
las regiones tropicales. Pertenece a la familia de las Convolvuláceas. Se cultiva también en otras muchas regiones. Las semillas han sido utilizadas desde la antigüedad por muchos pueblos originarios de México como alucinógeno. Los Aztecas la conocían como tlitliltzin, palabra náhuatl para ""negro” con un sufijo reverencial. En Sudamérica, las semillas se conocen como badoh negro.","Native to the Neotropics and widely naturalized in the tropical regions. It belongs to the Convolvulaceae family. It is also cultivated in many other regions. The seeds have been used since ancient times by many indigenous peoples of Mexico as a hallucinogen. The Aztecs knew it as tlitliltzin, a Nahuatl word for ""black"" with a reverential suffix. In South America, the seeds are known as black badoh.","Dumbo Gets Mad - Vooodoo on Gold

https://www.youtube.com/watch?v=hUR7QPPACMw"
Ipomea Hedrerifolia,Scarlet Morning Glory,Originaria del continente americano. Pertenece a la familia de las Convolvuláceas. Esta flor posee propiedades medicinales.,Native from the American continent. It belongs to the Convolvulaceae family. This flower has medicinal properties.,"Unknown Mortal Orchestra - Not in love we're just high

https://www.youtube.com/watch?v=uY82vChor2A"
Azulillo,Chilean blue crocus,"Es una planta pequeña integrante de la familia Tecophilaeaceae. Esta especie, una de las dos del género Tecophilaea. Es endémica de los Andes de Chile, donde crece en la cordillera de Santiago y florece entre agosto y septiembre. Durante la segunda mitad del siglo XX, se le consideró extinta en la naturaleza. Sin embargo, fue redescubierta en 2001. Se la considera una especie rara y la UICN (Unión internacional para la Conservación de la Naturaleza) la ha catalogado en peligro de extinción.","It is a small plant member of the Tecophilaeaceae family. It is endemic to the Andes of Chile, it grows in the Santiago mountain range and flowers between August and September. During the second half of the 20th century, it was considered extinct in the wild. However, it was rediscovered in 2001. It is considered a rare species and the IUCN (International Union for Conservation of Nature) has listed it as endangered.","Holy Wave - R&B

https://www.youtube.com/watch?v=j2xZkyS23dA"
Margarita,Marigold,"(Bellis perennis) Es una planta herbácea de la familia de las asteráceas. Esta famosa flor simboliza la pureza, la amistad y el amor incondicional, y la inocencia.","(Bellis perennis) It is a herbaceous plant of the Asteraceae family. This famous flower symbolizes purity, friendship and unconditional love, and innocence.","Speck Joliet - Time Frame

https://www.youtube.com/watch?v=I7dw8_KJN0U"
Flor de Loto,Lotus,"(Nelumbo nucifera) Es una de las dos especies pertenecientes al género Nelumbo. Es conocida por la longevidad de sus semillas, que pueden germinar después de diez siglos. Esta flor carga consigo el significado de la sabiduría y el conocimiento.","(Nelumbo nucifera) It is one of the two species belonging to the Nelumbo family. It is known for the longevity of its seeds, which can germinate after ten centuries. This flower carries with it the meaning of wisdom and knowledge.","Flume - Sleepless feat. Jezzabell Doran

https://www.youtube.com/watch?v=V7-yAX9ijuM"
Magnolia,Magnolia ,"(Magnolia grandiflora) Es una especie arbórea perteneciente a la familia Magnoliaceae, nativa del sureste de los Estados Unidos. En China, esta flor simboliza la pureza y la nobleza.","(Magnolia grandiflora) It is an arboreal species belonging to the Magnoliaceae family, native to the southeastern United States. In China, this flower symbolizes purity and nobility.","Still Woozy, ODIE - Lucy 

https://www.youtube.com/watch?v=F_8XzWXleoY"
